District,LBCode,LBName,WardCode,Type,WardName,Assembly
Alappuzha,M04014,Alappuzha,M04014001,M,THUMPOLY,Alappuzha
Alappuzha,M04014,Alappuzha,M04014002,M,KOMMADY,Alappuzha
Alappuzha,M04014,Alappuzha,M04014003,M,POONTHOPPU,Alappuzha
Alappuzha,M04014,Alappuzha,M04014004,M,KALATHU,Alappuzha
Alappuzha,M04014,Alappuzha,M04014005,M,KOTTAMKULANGARA,Alappuzha
Alappuzha,M04014,Alappuzha,M04014006,M,PUNNAMADA,Alappuzha
Alappuzha,M04014,Alappuzha,M04014007,M,NEHRU TROPHY,Alappuzha
Alappuzha,M04014,Alappuzha,M04014008,M,THIRUMALA,Alappuzha
Alappuzha,M04014,Alappuzha,M04014034,M,VAZHICHERY,Alappuzha
Alappuzha,M04014,Alappuzha,M04014035,M,MULLACKAL,Alappuzha
Alappuzha,M04014,Alappuzha,M04014036,M,DISTRICT COURT,Alappuzha
Alappuzha,M04014,Alappuzha,M04014037,M,THATHAMPALLY,Alappuzha
Alappuzha,M04014,Alappuzha,M04014038,M,KARALAKAM,Alappuzha
Alappuzha,M04014,Alappuzha,M04014039,M,KARUKAYIL,Alappuzha
Alappuzha,M04014,Alappuzha,M04014040,M,AVALOOKKUNNU,Alappuzha
Alappuzha,M04014,Alappuzha,M04014041,M,KIDANGAMPARAMBU,Alappuzha
Alappuzha,M04014,Alappuzha,M04014042,M,THONDANKULANGARA,Alappuzha
Alappuzha,M04014,Alappuzha,M04014043,M,ASRAMAM,Alappuzha
Alappuzha,M04014,Alappuzha,M04014044,M,MANNAM,Alappuzha
Alappuzha,M04014,Alappuzha,M04014045,M,CHATHANAD,Alappuzha
Alappuzha,M04014,Alappuzha,M04014047,M,VADACANAL,Alappuzha
Alappuzha,M04014,Alappuzha,M04014048,M,POWERHOUSE,Alappuzha
Alappuzha,M04014,Alappuzha,M04014049,M,ARATTUVAZHI,Alappuzha
Alappuzha,M04014,Alappuzha,M04014050,M,KALAPPURA,Alappuzha
Alappuzha,M04014,Alappuzha,M04014051,M,KANJIRAMCHIRA,Alappuzha
Alappuzha,M04014,Alappuzha,M04014052,M,MANGALAM,Alappuzha
Alappuzha,M04014,Alappuzha,M04014053,M,THUMPOLY SOUTH,Alappuzha
Alappuzha,M04014,Alappuzha,M04014009,M,PALLATHURUTHY,Ambalappuzha
Alappuzha,M04014,Alappuzha,M04014010,M,KALARKODU,Ambalappuzha
Alappuzha,M04014,Alappuzha,M04014011,M,KAITHAVANA,Ambalappuzha
Alappuzha,M04014,Alappuzha,M04014012,M,PAZHAVEEDU,Ambalappuzha
Alappuzha,M04014,Alappuzha,M04014013,M,PALACE,Ambalappuzha
Alappuzha,M04014,Alappuzha,M04014014,M,MUNICIPAL OFFICE,Ambalappuzha
Alappuzha,M04014,Alappuzha,M04014015,M,A N PURAM,Ambalappuzha
Alappuzha,M04014,Alappuzha,M04014016,M,THIRUVAMBADI,Ambalappuzha
Alappuzha,M04014,Alappuzha,M04014017,M,HOUSING COLONY,Ambalappuzha
Alappuzha,M04014,Alappuzha,M04014018,M,SANATHANAPURAM,Ambalappuzha
Alappuzha,M04014,Alappuzha,M04014019,M,ERAVUKADU,Ambalappuzha
Alappuzha,M04014,Alappuzha,M04014020,M,MULLATHU VALAPU,Ambalappuzha
Alappuzha,M04014,Alappuzha,M04014021,M,VALIYA MARAM,Ambalappuzha
Alappuzha,M04014,Alappuzha,M04014022,M,MUNICIPAL STADIUM,Ambalappuzha
Alappuzha,M04014,Alappuzha,M04014023,M,ALISSERY,Ambalappuzha
Alappuzha,M04014,Alappuzha,M04014024,M,VATTAYAL,Ambalappuzha
Alappuzha,M04014,Alappuzha,M04014025,M,KUTHIRAPANTHI,Ambalappuzha
Alappuzha,M04014,Alappuzha,M04014026,M,GURUMANDIRAM,Ambalappuzha
Alappuzha,M04014,Alappuzha,M04014027,M,VADACKAL,Ambalappuzha
Alappuzha,M04014,Alappuzha,M04014028,M,BEACH,Ambalappuzha
Alappuzha,M04014,Alappuzha,M04014029,M,RAILWAY STATION,Ambalappuzha
Alappuzha,M04014,Alappuzha,M04014030,M,VALIYAKULAM,Ambalappuzha
Alappuzha,M04014,Alappuzha,M04014031,M,LAJANETH,Ambalappuzha
Alappuzha,M04014,Alappuzha,M04014032,M,ZACHARIYA BAZAR,Ambalappuzha
Alappuzha,M04014,Alappuzha,M04014033,M,CIVIL STATION,Ambalappuzha
Alappuzha,M04014,Alappuzha,M04014046,M,SEAVIEW,Ambalappuzha
Ernakulam,C07003,Kochi,C07003009,C,ISLAND NORTH,Ernakulam
Ernakulam,C07003,Kochi,C07003010,C,RAVIPURAM,Ernakulam
Ernakulam,C07003,Kochi,C07003011,C,ERNAKULAM SOUTH,Ernakulam
Ernakulam,C07003,Kochi,C07003012,C,GANDHI NAGAR,Ernakulam
Ernakulam,C07003,Kochi,C07003013,C,KATHRIKADAVU,Ernakulam
Ernakulam,C07003,Kochi,C07003014,C,ERNAKULAM CENTRAL,Ernakulam
Ernakulam,C07003,Kochi,C07003015,C,ERNAKULAM NORTH,Ernakulam
Ernakulam,C07003,Kochi,C07003016,C,KALOOR SOUTH,Ernakulam
Ernakulam,C07003,Kochi,C07003017,C,KALOOR-NORTH,Ernakulam
Ernakulam,C07003,Kochi,C07003018,C,THRIKKANARVATTOM,Ernakulam
Ernakulam,C07003,Kochi,C07003019,C,AYYAPPANKAVU,Ernakulam
Ernakulam,C07003,Kochi,C07003020,C,POTTAKUZHY,Ernakulam
Ernakulam,C07003,Kochi,C07003021,C,ELAMAKKARA SOUTH,Ernakulam
Ernakulam,C07003,Kochi,C07003022,C,PACHALAM,Ernakulam
Ernakulam,C07003,Kochi,C07003023,C,THATTAZHAM,Ernakulam
Ernakulam,C07003,Kochi,C07003024,C,VADUTHALA WEST,Ernakulam
Ernakulam,C07003,Kochi,C07003025,C,VADUTHALA EAST,Ernakulam
Ernakulam,C07003,Kochi,C07003026,C,ELAMAKKARA NORTH,Ernakulam
Ernakulam,C07003,Kochi,C07003027,C,PUTHUKKALAVATTAM,Ernakulam
Ernakulam,C07003,Kochi,C07003028,C,KUNNUMPURAM,Ernakulam
Ernakulam,C07003,Kochi,C07003051,C,PERUMANOOR,Ernakulam
Ernakulam,C07003,Kochi,C07003052,C,KONTHURUTHY,Ernakulam
Ernakulam,C07003,Kochi,C07003053,C,THEVARA,Ernakulam
Ernakulam,C07003,Kochi,C07003054,C,ISLAND SOUTH,Ernakulam
Ernakulam,C07003,Kochi,C07003001,C,FORT KOCHI,Kochi
Ernakulam,C07003,Kochi,C07003002,C,KALVATHY,Kochi
Ernakulam,C07003,Kochi,C07003003,C,EARAVELY,Kochi
Ernakulam,C07003,Kochi,C07003004,C,KARIPPALAM,Kochi
Ernakulam,C07003,Kochi,C07003005,C,CHERALAYI,Kochi
Ernakulam,C07003,Kochi,C07003006,C,MATTANCHERY,Kochi
Ernakulam,C07003,Kochi,C07003007,C,CHAKKAMADAM,Kochi
Ernakulam,C07003,Kochi,C07003008,C,KARUVELIPPADY,Kochi
Ernakulam,C07003,Kochi,C07003065,C,PULLARDESAM,Kochi
Ernakulam,C07003,Kochi,C07003066,C,THAREBHAGAM,Kochi
Ernakulam,C07003,Kochi,C07003067,C,THOPPUMPADY,Kochi
Ernakulam,C07003,Kochi,C07003068,C,MUNDAMVELY EAST,Kochi
Ernakulam,C07003,Kochi,C07003069,C,MUNDAMVELY,Kochi
Ernakulam,C07003,Kochi,C07003070,C,MANASSERY,Kochi
Ernakulam,C07003,Kochi,C07003071,C,MOOLAMKUZHY,Kochi
Ernakulam,C07003,Kochi,C07003072,C,CHULLICKAL,Kochi
Ernakulam,C07003,Kochi,C07003073,C,NASRATHU,Kochi
Ernakulam,C07003,Kochi,C07003074,C,PANAYAPPILLY,Kochi
Ernakulam,C07003,Kochi,C07003075,C,AMARAVATHY,Kochi
Ernakulam,C07003,Kochi,C07003076,C,FORTKOCHI VELI,Kochi
Ernakulam,C07003,Kochi,C07003029,C,PONEKKARA,Thrikkakara
Ernakulam,C07003,Kochi,C07003030,C,EDAPPALLY,Thrikkakara
Ernakulam,C07003,Kochi,C07003031,C,CHANGAMPUZHA,Thrikkakara
Ernakulam,C07003,Kochi,C07003032,C,DHEVANKULANGARA,Thrikkakara
Ernakulam,C07003,Kochi,C07003033,C,PALARIVATTAM,Thrikkakara
Ernakulam,C07003,Kochi,C07003034,C,STADIUM,Thrikkakara
Ernakulam,C07003,Kochi,C07003035,C,KARANAKKODAM,Thrikkakara
Ernakulam,C07003,Kochi,C07003036,C,PUTHIYAROAD,Thrikkakara
Ernakulam,C07003,Kochi,C07003037,C,PADIVATTAM,Thrikkakara
Ernakulam,C07003,Kochi,C07003038,C,VENNALA,Thrikkakara
Ernakulam,C07003,Kochi,C07003039,C,CHAKKARAPARAMBU,Thrikkakara
Ernakulam,C07003,Kochi,C07003040,C,CHALIKKAVATTAM,Thrikkakara
Ernakulam,C07003,Kochi,C07003041,C,THAMMANAM,Thrikkakara
Ernakulam,C07003,Kochi,C07003042,C,ELAMKULAM,Thrikkakara
Ernakulam,C07003,Kochi,C07003043,C,GIRINAGAR,Thrikkakara
Ernakulam,C07003,Kochi,C07003044,C,PONNURUNNI,Thrikkakara
Ernakulam,C07003,Kochi,C07003045,C,PONNURUNNI EAST,Thrikkakara
Ernakulam,C07003,Kochi,C07003046,C,VYTTILA,Thrikkakara
Ernakulam,C07003,Kochi,C07003047,C,POONITHURA,Thrikkakara
Ernakulam,C07003,Kochi,C07003048,C,VYTTILA JANATHA,Thrikkakara
Ernakulam,C07003,Kochi,C07003049,C,KADAVANTHRA,Thrikkakara
Ernakulam,C07003,Kochi,C07003050,C,PANAMPILLI NAGAR,Thrikkakara
Ernakulam,C07003,Kochi,C07003055,C,KADEBHAGAM,Thrippunithara
Ernakulam,C07003,Kochi,C07003056,C,PALLURUTHY EAST,Thrippunithara
Ernakulam,C07003,Kochi,C07003057,C,THAZHUPPU,Thrippunithara
Ernakulam,C07003,Kochi,C07003058,C,EADAKOCHI NORTH,Thrippunithara
Ernakulam,C07003,Kochi,C07003059,C,EDAKOCHI SOUTH,Thrippunithara
Ernakulam,C07003,Kochi,C07003060,C,PERUMBADAPPU,Thrippunithara
