District,LBCode,LBName,Assembly
ALAPPUZHA,G04001,Arookutty,Aroor
ALAPPUZHA,G04002,Chennam Pallippuram,Aroor
ALAPPUZHA,G04003,Panavally,Aroor
ALAPPUZHA,G04004,Perumbalam,Aroor
ALAPPUZHA,G04005,Thycattussery,Aroor
ALAPPUZHA,G04006,Aroor,Aroor
ALAPPUZHA,G04007,Ezhupunna,Aroor
ALAPPUZHA,G04008,Kuthiathode,Aroor
ALAPPUZHA,G04009,Kodamthuruth,Aroor
ALAPPUZHA,G04010,Thuravoor,Aroor
ALAPPUZHA,G04011,Pattanakkad,Cherthala
ALAPPUZHA,G04012,Vayalar,Cherthala
ALAPPUZHA,G04013,Kanjikkuzhy,Cherthala
ALAPPUZHA,G04014,Cherthala South,Cherthala
ALAPPUZHA,G04015,Mararikkulam North,Alappuzha
ALAPPUZHA,G04016,Kadakkarapally,Cherthala
ALAPPUZHA,G04017,Thanneermukkam,Cherthala
ALAPPUZHA,G04018,Aryad,Alappuzha
ALAPPUZHA,G04019,Mannanchery,Alappuzha
ALAPPUZHA,G04020,Mararikkulam South,Alappuzha
ALAPPUZHA,G04021,Muhamma,Cherthala
ALAPPUZHA,G04022,Ambalappuzha South,Ambalappuzha
ALAPPUZHA,G04023,Ambalappuzha North,Ambalappuzha
ALAPPUZHA,G04024,Punnapra South,Ambalappuzha
ALAPPUZHA,G04025,Punnapra North,Ambalappuzha
ALAPPUZHA,G04026,Purakkad,Ambalappuzha
ALAPPUZHA,G04027,Edathua,Kuttanad
ALAPPUZHA,G04028,Kainakary,Kuttanad
ALAPPUZHA,G04029,Champakkulam,Kuttanad
ALAPPUZHA,G04030,Thakazhy,Kuttanad
ALAPPUZHA,G04031,Thalavady,Kuttanad
ALAPPUZHA,G04032,Nedumudi,Kuttanad
ALAPPUZHA,G04033,Kavalam,Kuttanad
ALAPPUZHA,G04034,Pulincunnu,Kuttanad
ALAPPUZHA,G04035,Neelamperoor,Kuttanad
ALAPPUZHA,G04036,Muttar,Kuttanad
ALAPPUZHA,G04037,Ramankary,Kuttanad
ALAPPUZHA,G04038,Veliyanad,Kuttanad
ALAPPUZHA,G04039,Cheriyanad,Chengannur
ALAPPUZHA,G04040,Ala,Chengannur
ALAPPUZHA,G04041,Puliyur,Chengannur
ALAPPUZHA,G04042,Budhannur,Chengannur
ALAPPUZHA,G04043,Pandanad,Chengannur
ALAPPUZHA,G04044,Thiruvanvandoor,Chengannur
ALAPPUZHA,G04045,Mulakkuzha,Chengannur
ALAPPUZHA,G04046,Venmony,Chengannur
ALAPPUZHA,G04047,Karthikapally,Harippad
ALAPPUZHA,G04048,Thrikkunnappuzha,Harippad
ALAPPUZHA,G04049,Kumarapuram,Harippad
ALAPPUZHA,G04050,Karuvatta,Harippad
ALAPPUZHA,G04052,Pallippad,Harippad
ALAPPUZHA,G04053,Cheruthana,Harippad
ALAPPUZHA,G04054,Veeyapuram,Kuttanad
ALAPPUZHA,G04055,Mavelikkara Thekkekkara,Mavelikkara
