District,LBCode,LBName,WardCode,Type,WardName,Male,Female,Others,TotalVoters
Thiruvananthapuram,G01001,Parassala,G01001001,G,KOTTAKKAKOM,937,1146,0,2083
Thiruvananthapuram,G01001,Parassala,G01001002,G,NEDIYAMCODE,892,1050,0,1942
Thiruvananthapuram,G01001,Parassala,G01001003,G,PERUVILA,755,912,0,1667
Thiruvananthapuram,G01001,Parassala,G01001004,G,PULLOORKONAM,767,846,0,1613
Thiruvananthapuram,G01001,Parassala,G01001005,G,PARASUVAIKKAL,911,1027,0,1938
Thiruvananthapuram,G01001,Parassala,G01001006,G,ADUMANKADU,952,999,0,1951
Thiruvananthapuram,G01001,Parassala,G01001007,G,IDICHAKKAPLAMOODU,886,926,0,1812
Thiruvananthapuram,G01001,Parassala,G01001008,G,PAVATHIYANVILA,891,998,0,1889
Thiruvananthapuram,G01001,Parassala,G01001009,G,KARUMANOOR,800,843,0,1643
Thiruvananthapuram,G01001,Parassala,G01001011,G,NEDUVANVILA,786,829,0,1615
Thiruvananthapuram,G01001,Parassala,G01001012,G,KODAVILAKOM,932,1114,0,2046
Thiruvananthapuram,G01001,Parassala,G01001013,G,MURYANKARA,819,861,0,1680
Thiruvananthapuram,G01001,Parassala,G01001014,G,MULLUVILA,916,1013,0,1929
Thiruvananthapuram,G01001,Parassala,G01001015,G,TOWN,982,1213,0,2195
Thiruvananthapuram,G01001,Parassala,G01001016,G,NADUTHOTTAM,1049,1253,0,2302
Thiruvananthapuram,G01001,Parassala,G01001017,G,INCHIVILA,1067,1150,0,2217
Thiruvananthapuram,G01001,Parassala,G01001018,G,AYINKAMAM,827,951,0,1778
Thiruvananthapuram,G01001,Parassala,G01001019,G,VANNIACODE,1122,1271,0,2393
Thiruvananthapuram,G01001,Parassala,G01001020,G,CHERUVARAKONAM,1145,1221,0,2366
Thiruvananthapuram,G01001,Parassala,G01001021,G,MURIYATHOTTAM,928,1028,0,1956
Thiruvananthapuram,G01001,Parassala,G01001022,G,KEEZHATHOTTAM,971,1124,0,2095
Thiruvananthapuram,G01001,Parassala,G01001023,G,MELEKONAM,803,941,0,1744
Thiruvananthapuram,G01001,Parassala,G01001024,G,PONNAMKULAM,869,982,0,1851
Thiruvananthapuram,G01001,Parassala,G01001010,G,PUTHENKADA,983,1036,0,2019
Thiruvananthapuram,G01002,Karode,G01002001,G,PLAMOOTUKADA,637,778,0,1415
Thiruvananthapuram,G01002,Karode,G01002002,G,POTTAYILKADA,748,870,0,1618
Thiruvananthapuram,G01002,Karode,G01002003,G,AYIRA,852,925,0,1777
Thiruvananthapuram,G01002,Karode,G01002004,G,VADOORKONAM,763,844,0,1607
Thiruvananthapuram,G01002,Karode,G01002005,G,MANCHAMKUZHI,769,837,0,1606
Thiruvananthapuram,G01002,Karode,G01002006,G,CHENKAVILA,564,648,0,1212
Thiruvananthapuram,G01002,Karode,G01002007,G,AMBILIKONAM,706,867,0,1573
Thiruvananthapuram,G01002,Karode,G01002008,G,KANTHALLOOR,612,776,0,1388
Thiruvananthapuram,G01002,Karode,G01002009,G,MARADY,694,815,0,1509
Thiruvananthapuram,G01002,Karode,G01002010,G,KARODE,692,817,0,1509
Thiruvananthapuram,G01002,Karode,G01002011,G,KUZHINJAM VILA,635,684,0,1319
Thiruvananthapuram,G01002,Karode,G01002013,G,AMBANAVILA,712,857,0,1569
Thiruvananthapuram,G01002,Karode,G01002014,G,KUNNIYODE,843,958,0,1801
Thiruvananthapuram,G01002,Karode,G01002015,G,KADALIKULAM,739,826,0,1565
Thiruvananthapuram,G01002,Karode,G01002016,G,PUTHUSSERI,862,1041,0,1903
Thiruvananthapuram,G01002,Karode,G01002017,G,PUTHIYA  UCHAKKADA,522,616,0,1138
Thiruvananthapuram,G01002,Karode,G01002018,G,PAZHAYA UCHAKKADA,825,956,0,1781
Thiruvananthapuram,G01002,Karode,G01002019,G,VENKULAM,643,738,0,1381
Thiruvananthapuram,G01002,Karode,G01002020,G,CHAROTTUKONAM,657,750,0,1407
Thiruvananthapuram,G01002,Karode,G01002012,G,PINKULAM,590,648,0,1238
Thiruvananthapuram,G01003,Kulathoor,G01003018,G,ARUVALLOOR,645,738,0,1383
Thiruvananthapuram,G01003,Kulathoor,G01003016,G,ATTUPURAM,575,648,0,1223
Thiruvananthapuram,G01003,Kulathoor,G01003004,G,CHERUNALPPAZHINJI,650,753,1,1404
Thiruvananthapuram,G01003,Kulathoor,G01003005,G,HIGH SCHOOL WARD,621,759,0,1380
Thiruvananthapuram,G01003,Kulathoor,G01003011,G,KOLLEMCODE,731,710,0,1441
Thiruvananthapuram,G01003,Kulathoor,G01003019,G,KOTTAIKKAKOM,680,710,0,1390
Thiruvananthapuram,G01003,Kulathoor,G01003006,G,KULATHOOR,521,643,0,1164
Thiruvananthapuram,G01003,Kulathoor,G01003015,G,KUNNUVILA,473,507,0,980
Thiruvananthapuram,G01003,Kulathoor,G01003021,G,MAVILAKADAVU,695,791,0,1486
Thiruvananthapuram,G01003,Kulathoor,G01003012,G,MULLASSERI,590,628,0,1218
Thiruvananthapuram,G01003,Kulathoor,G01003003,G,NALLOORVATTOM,589,651,0,1240
Thiruvananthapuram,G01003,Kulathoor,G01003020,G,OORAMVILA,697,749,0,1446
Thiruvananthapuram,G01003,Kulathoor,G01003013,G,PARUTHIYOOR,619,593,0,1212
Thiruvananthapuram,G01003,Kulathoor,G01003008,G,PERUMPAZHINJI,536,545,0,1081
Thiruvananthapuram,G01003,Kulathoor,G01003010,G,POYPALLIVILAKOM,790,835,0,1625
Thiruvananthapuram,G01003,Kulathoor,G01003014,G,POZHIKKARABEACH,727,713,0,1440
Thiruvananthapuram,G01003,Kulathoor,G01003009,G,POZHIYOOR,688,759,0,1447
Thiruvananthapuram,G01003,Kulathoor,G01003007,G,UCHAKKADA,515,606,0,1121
Thiruvananthapuram,G01003,Kulathoor,G01003001,G,VENKADAMBU,653,661,0,1314
Thiruvananthapuram,G01003,Kulathoor,G01003017,G,VIRALIPURAM,737,847,0,1584
Thiruvananthapuram,G01003,Kulathoor,G01003002,G,POOZHIKKUNNU,484,566,0,1050
Thiruvananthapuram,G01004,Chenkal,G01004002,G,KEEZHKOLLA,719,793,0,1512
Thiruvananthapuram,G01004,Chenkal,G01004003,G,VATTAVILA,733,769,0,1502
Thiruvananthapuram,G01004,Chenkal,G01004006,G,KUDUMBOTTUKONAM,721,860,0,1581
Thiruvananthapuram,G01004,Chenkal,G01004007,G,KOCHOTTUKONAM,599,652,0,1251
Thiruvananthapuram,G01004,Chenkal,G01004008,G,UDIYANKULANGARA,769,868,0,1637
Thiruvananthapuram,G01004,Chenkal,G01004009,G,KOTTAMAM,711,709,0,1420
Thiruvananthapuram,G01004,Chenkal,G01004010,G,ARAYOOR,699,818,0,1517
Thiruvananthapuram,G01004,Chenkal,G01004012,G,ARAYOOR KIZHAKKU,839,928,0,1767
Thiruvananthapuram,G01004,Chenkal,G01004011,G,PONVILA,739,827,0,1566
Thiruvananthapuram,G01004,Chenkal,G01004013,G,THOTTINKARA,685,798,1,1484
Thiruvananthapuram,G01004,Chenkal,G01004014,G,PORANOOR,791,851,0,1642
Thiruvananthapuram,G01004,Chenkal,G01004015,G,MELAMMAKAM,726,792,1,1519
Thiruvananthapuram,G01004,Chenkal,G01004017,G,KODANKARA,666,702,0,1368
Thiruvananthapuram,G01004,Chenkal,G01004016,G,MARYAPURAM,673,747,0,1420
Thiruvananthapuram,G01004,Chenkal,G01004005,G,KUNNANVILA,675,660,0,1335
Thiruvananthapuram,G01004,Chenkal,G01004020,G,CHENKAL KIZHAKKU,665,741,0,1406
Thiruvananthapuram,G01004,Chenkal,G01004004,G,CHENKAL,631,669,0,1300
Thiruvananthapuram,G01004,Chenkal,G01004019,G,VLATHANKARA  KIZHAKKU,711,770,0,1481
Thiruvananthapuram,G01004,Chenkal,G01004018,G,KEEZHAMMAKOM,676,703,0,1379
Thiruvananthapuram,G01004,Chenkal,G01004022,G,VLATHANKARA,647,681,0,1328
Thiruvananthapuram,G01004,Chenkal,G01004001,G,NOCHIYOOR,608,696,0,1304
Thiruvananthapuram,G01004,Chenkal,G01004021,G,NEERAZHIVETTUVILA,604,644,0,1248
Thiruvananthapuram,G01005,THIRUPURAM,G01005001,G,MULLUVILA,550,537,0,1087
Thiruvananthapuram,G01005,THIRUPURAM,G01005002,G,IRUVAIKONAM,534,562,0,1096
Thiruvananthapuram,G01005,THIRUPURAM,G01005003,G,KUMILI,430,543,0,973
Thiruvananthapuram,G01005,THIRUPURAM,G01005004,G,KALUM MUKHAM,601,689,0,1290
Thiruvananthapuram,G01005,THIRUPURAM,G01005005,G,PAZHAYAKADA,495,574,0,1069
Thiruvananthapuram,G01005,THIRUPURAM,G01005006,G,MANNAKKALLU,435,529,0,964
Thiruvananthapuram,G01005,THIRUPURAM,G01005007,G,KANJAMPAZHINJI,462,525,0,987
Thiruvananthapuram,G01005,THIRUPURAM,G01005008,G,THIRUPURAM,520,605,0,1125
Thiruvananthapuram,G01005,THIRUPURAM,G01005009,G,PLANTHOTTAM,522,593,0,1115
Thiruvananthapuram,G01005,THIRUPURAM,G01005010,G,MUDANTHANNI,334,401,0,735
Thiruvananthapuram,G01005,THIRUPURAM,G01005011,G,PATHANAVILA,545,593,0,1138
Thiruvananthapuram,G01005,THIRUPURAM,G01005012,G,PULAVANGAL,502,554,0,1056
Thiruvananthapuram,G01005,THIRUPURAM,G01005013,G,MANKOOTTAM,501,521,0,1022
Thiruvananthapuram,G01005,THIRUPURAM,G01005014,G,PURUTHIVILA,480,528,0,1008
Thiruvananthapuram,G01005,THIRUPURAM,G01005015,G,PUTHENKADA,665,748,0,1413
Thiruvananthapuram,G01006,Poovar,G01006001,G,PARANIYAM,500,597,0,1097
Thiruvananthapuram,G01006,Poovar,G01006002,G,KALAYITHOTTAM,522,554,0,1076
Thiruvananthapuram,G01006,Poovar,G01006003,G,ARASUMOODU,441,499,0,940
Thiruvananthapuram,G01006,Poovar,G01006004,G,KANCHAMPAZHINJI,571,593,0,1164
Thiruvananthapuram,G01006,Poovar,G01006005,G,ARUMANOOR,401,473,0,874
Thiruvananthapuram,G01006,Poovar,G01006006,G,SOOLAMKUDI,517,565,0,1082
Thiruvananthapuram,G01006,Poovar,G01006007,G,POOVAR TOWN,557,621,0,1178
Thiruvananthapuram,G01006,Poovar,G01006008,G,E MS NAGAR,642,650,0,1292
Thiruvananthapuram,G01006,Poovar,G01006009,G,CHANTHAVILAKOM,638,724,0,1362
Thiruvananthapuram,G01006,Poovar,G01006010,G,VARAVILATHOPPU,572,598,0,1170
Thiruvananthapuram,G01006,Poovar,G01006011,G,ERIKKALUVILA,630,633,0,1263
Thiruvananthapuram,G01006,Poovar,G01006012,G,T B,501,594,0,1095
Thiruvananthapuram,G01006,Poovar,G01006013,G,HIGH SCHOOL WARD,468,565,0,1033
Thiruvananthapuram,G01006,Poovar,G01006014,G,KALLINGAVILAKOM,475,541,0,1016
Thiruvananthapuram,G01006,Poovar,G01006015,G,CHEKKADI,475,556,0,1031
Thiruvananthapuram,G01007,Vellarada,G01007002,G,MEETHI,644,758,0,1402
Thiruvananthapuram,G01007,Vellarada,G01007003,G,MUTHUKKUZHI,632,713,0,1345
Thiruvananthapuram,G01007,Vellarada,G01007004,G,ANAPPARA,629,718,0,1347
Thiruvananthapuram,G01007,Vellarada,G01007005,G,KOVILLOOR,735,845,0,1580
Thiruvananthapuram,G01007,Vellarada,G01007006,G,KOOTHALI,690,759,0,1449
Thiruvananthapuram,G01007,Vellarada,G01007007,G,KAKKATHOOKKI,704,814,0,1518
Thiruvananthapuram,G01007,Vellarada,G01007008,G,PANNIMALA,703,835,0,1538
Thiruvananthapuram,G01007,Vellarada,G01007009,G,ARATTUKUZHI,781,892,0,1673
Thiruvananthapuram,G01007,Vellarada,G01007010,G,VELLARADA,711,781,0,1492
Thiruvananthapuram,G01007,Vellarada,G01007011,G,ANCHUMARAMKALA,698,802,0,1500
Thiruvananthapuram,G01007,Vellarada,G01007012,G,KILIYOOR,641,753,0,1394
Thiruvananthapuram,G01007,Vellarada,G01007013,G,MANOOR,643,717,0,1360
Thiruvananthapuram,G01007,Vellarada,G01007014,G,PONNAMBI,763,864,0,1627
Thiruvananthapuram,G01007,Vellarada,G01007015,G,MANATHOTTAM,690,807,0,1497
Thiruvananthapuram,G01007,Vellarada,G01007016,G,PANACHAMOODU,809,866,0,1675
Thiruvananthapuram,G01007,Vellarada,G01007017,G,KRISHNAPURAM,817,915,0,1732
Thiruvananthapuram,G01007,Vellarada,G01007018,G,VENCODE,692,846,0,1538
Thiruvananthapuram,G01007,Vellarada,G01007019,G,PANCHAKUZHI,781,846,0,1627
Thiruvananthapuram,G01007,Vellarada,G01007021,G,KARIKKAMANCODE,834,983,0,1817
Thiruvananthapuram,G01007,Vellarada,G01007022,G,MUNDANADU,526,639,0,1165
Thiruvananthapuram,G01007,Vellarada,G01007023,G,DALUMUGHAM,730,836,0,1566
Thiruvananthapuram,G01007,Vellarada,G01007024,G,PATTAMTHALAKKAL,798,852,0,1650
Thiruvananthapuram,G01007,Vellarada,G01007001,G,KALLIMOODU,525,581,0,1106
Thiruvananthapuram,G01007,Vellarada,G01007020,G,MULLILAVUVILA,852,956,0,1808
Thiruvananthapuram,G01008,Kunnathukal,G01008001,G,ANAVOOR,683,712,0,1395
Thiruvananthapuram,G01008,Kunnathukal,G01008002,G,MANAVARI,576,690,0,1266
Thiruvananthapuram,G01008,Kunnathukal,G01008003,G,KORANAMKODU,522,651,0,1173
Thiruvananthapuram,G01008,Kunnathukal,G01008005,G,ARUVIYODU,579,642,0,1221
Thiruvananthapuram,G01008,Kunnathukal,G01008006,G,NARANI,605,753,0,1358
Thiruvananthapuram,G01008,Kunnathukal,G01008007,G,KAIVANKALA,645,714,0,1359
Thiruvananthapuram,G01008,Kunnathukal,G01008008,G,ELLUVILA,605,700,0,1305
Thiruvananthapuram,G01008,Kunnathukal,G01008009,G,KUDAYAL,720,880,0,1600
Thiruvananthapuram,G01008,Kunnathukal,G01008010,G,CHERIYAKOLLA,784,928,0,1712
Thiruvananthapuram,G01008,Kunnathukal,G01008012,G,NILAMAMOODU,757,886,0,1643
Thiruvananthapuram,G01008,Kunnathukal,G01008013,G,KOTTUKKONAM,726,874,0,1600
Thiruvananthapuram,G01008,Kunnathukal,G01008014,G,KARAKKONAM,728,847,0,1575
Thiruvananthapuram,G01008,Kunnathukal,G01008015,G,KUNNATHUKAL,680,793,0,1473
Thiruvananthapuram,G01008,Kunnathukal,G01008016,G,CHAVADI,707,814,0,1521
Thiruvananthapuram,G01008,Kunnathukal,G01008017,G,MANINADU,631,720,0,1351
Thiruvananthapuram,G01008,Kunnathukal,G01008018,G,VANDITHADAM,721,836,0,1557
Thiruvananthapuram,G01008,Kunnathukal,G01008020,G,MOOVERIKKARA,538,620,0,1158
Thiruvananthapuram,G01008,Kunnathukal,G01008019,G,KALAYIL,767,876,0,1643
Thiruvananthapuram,G01008,Kunnathukal,G01008022,G,KURUVADU,756,859,0,1615
Thiruvananthapuram,G01008,Kunnathukal,G01008021,G,KOTTACKAL,727,765,0,1492
Thiruvananthapuram,G01008,Kunnathukal,G01008023,G,PALIYODU,610,698,0,1308
Thiruvananthapuram,G01008,Kunnathukal,G01008004,G,VALLICHIRA,658,716,0,1374
Thiruvananthapuram,G01008,Kunnathukal,G01008011,G,UNDANCODE,697,826,0,1523
Thiruvananthapuram,G01009,Kollayil,G01009001,G,NADOORKOLLA,517,601,0,1118
Thiruvananthapuram,G01009,Kollayil,G01009002,G,PERUMBOTTUKONAM,646,702,0,1348
Thiruvananthapuram,G01009,Kollayil,G01009003,G,MANKOTTUKONAM,656,758,0,1414
Thiruvananthapuram,G01009,Kollayil,G01009004,G,MALAYILKKADA,557,642,0,1199
Thiruvananthapuram,G01009,Kollayil,G01009005,G,PANKOTTUKONAM,667,739,0,1406
Thiruvananthapuram,G01009,Kollayil,G01009006,G,MANCHAVILAKOM,595,668,0,1263
Thiruvananthapuram,G01009,Kollayil,G01009007,G,POOVATHOOR,680,788,0,1468
Thiruvananthapuram,G01009,Kollayil,G01009009,G,CHARUVILAKOM,534,616,0,1150
