District,LBCode,LBName,WardCode,WardName,Candidate,Gender,Party,Votes
ALAPPUZHA,B04031,Thykkattussery,B04031001,Arookkutty,P.K.KOCHAPPAN,M,CPI(M),3492
ALAPPUZHA,B04031,Thykkattussery,B04031001,Arookkutty,JOSHY PANAMPALLY,M,INC,2313
ALAPPUZHA,B04031,Thykkattussery,B04031001,Arookkutty,C.K.BHASAKARAN,M,IND,133
ALAPPUZHA,B04031,Thykkattussery,B04031001,Arookkutty,SIVAN VALAYANAD,M,IND,75
ALAPPUZHA,B04031,Thykkattussery,B04031001,Arookkutty,SAJEESH AROOKUTTY,M,IND,208
ALAPPUZHA,B04031,Thykkattussery,B04031001,Arookkutty,SALEESH MADANA,M,IND,358
ALAPPUZHA,B04031,Thykkattussery,B04031001,Arookkutty,Invalid Votes,,,0
ALAPPUZHA,B04031,Thykkattussery,B04031002,Perumbalam,AJAYAKUMAR,M,BJP,1053
ALAPPUZHA,B04031,Thykkattussery,B04031002,Perumbalam,KUTTIKKAN BABU,M,IND,828
ALAPPUZHA,B04031,Thykkattussery,B04031002,Perumbalam,P.G.MURALEEDHARAN,M,CPI(M),2329
ALAPPUZHA,B04031,Thykkattussery,B04031002,Perumbalam,K.P.SASIKUMAR(MAANKOOTTATHIL,M,INC,2305
ALAPPUZHA,B04031,Thykkattussery,B04031002,Perumbalam,SASEENDRANATHA PANICKER,M,IND,184
ALAPPUZHA,B04031,Thykkattussery,B04031002,Perumbalam,Invalid Votes,,,0
ALAPPUZHA,B04031,Thykkattussery,B04031003,Vazhatharaveli,NIRMALA SELVARAJ,F,CPI(M),2731
ALAPPUZHA,B04031,Thykkattussery,B04031003,Vazhatharaveli,SHEENA RAJENDRAN,F,INC,1941
ALAPPUZHA,B04031,Thykkattussery,B04031003,Vazhatharaveli,SMITHA,F,BJP,1220
ALAPPUZHA,B04031,Thykkattussery,B04031003,Vazhatharaveli,Invalid Votes,,,1
ALAPPUZHA,B04031,Thykkattussery,B04031004,Poochakkal,MEGHA VENU,F,CPI,2578
ALAPPUZHA,B04031,Thykkattussery,B04031004,Poochakkal,LAILA B,F,INC,1921
ALAPPUZHA,B04031,Thykkattussery,B04031004,Poochakkal,SMITHA SHINE,F,IND,1005
ALAPPUZHA,B04031,Thykkattussery,B04031004,Poochakkal,Invalid Votes,,,1
ALAPPUZHA,B04031,Thykkattussery,B04031005,Thevarvattom,RATHI NARAYANAN,F,INC,2119
ALAPPUZHA,B04031,Thykkattussery,B04031005,Thevarvattom,VIJAYAMMA KARTHIKEYAN,F,CPI,1392
ALAPPUZHA,B04031,Thykkattussery,B04031005,Thevarvattom,SUJATHA OMANAKUTTAN,F,BJP,1022
ALAPPUZHA,B04031,Thykkattussery,B04031005,Thevarvattom,Invalid Votes,,,0
