District,LBCode,LBName,WardCode,WardName,Party,Candidate,Gender,Age,Address,Votes,Type,Rank,Lead,Front,LBType,Tier,WardTotalVotes,VotePercentage,Assembly,VoteBin,VoteStrength,Strength
THIRUVANANTHAPURAM,G01001,Parassala,G01001003,PERUVILA,CPI(M),ഷീജ എസ്,,,,435,G,1,16,LDF,Grama,Ward,1268,34.31,Parassala,30-40%,,Jan-49
THIRUVANANTHAPURAM,G01001,Parassala,G01001003,PERUVILA,INC,ജയാജാസ്മിൻ,,,,419,G,2,-16,UDF,Grama,Ward,1268,33.04,Parassala,30-40%,,-1 to -49
THIRUVANANTHAPURAM,G01001,Parassala,G01001003,PERUVILA,BJP,ജയകല വി,,,,414,G,3,-21,NDA,Grama,Ward,1268,32.65,Parassala,30-40%,,-1 to -49
THIRUVANANTHAPURAM,G01001,Parassala,G01001001,KOTTAKKAKOM,BJP,എം. ഗോപകുമാർ,,,,639,G,1,86,NDA,Grama,Ward,1597,40.01,Parassala,40-50%,,50-99
THIRUVANANTHAPURAM,G01001,Parassala,G01001001,KOTTAKKAKOM,INC,ലൈജു,,,,553,G,2,-86,UDF,Grama,Ward,1597,34.63,Parassala,30-40%,,-50 to -99
THIRUVANANTHAPURAM,G01001,Parassala,G01001001,KOTTAKKAKOM,CPI(M),പി. ലോറന്‍സ്,,,,374,G,3,-265,LDF,Grama,Ward,1597,23.42,Parassala,20-30%,,-200 to -499
THIRUVANANTHAPURAM,G01001,Parassala,G01001001,KOTTAKKAKOM,IND,ഷൈജിന്‍.ഡബ്ല്യൂ,,,,31,G,4,-608,OTH,Grama,Ward,1597,1.94,Parassala,0-10%,,-500 or less
THIRUVANANTHAPURAM,G01001,Parassala,G01001005,PARASUVAIKKAL,CPI(M),ശ്രീനി .വി .ജെ,,,,670,G,1,39,LDF,Grama,Ward,1441,46.5,Parassala,40-50%,,Jan-49
THIRUVANANTHAPURAM,G01001,Parassala,G01001005,PARASUVAIKKAL,INC,ക്രിസ്തുദാസ്,,,,631,G,2,-39,UDF,Grama,Ward,1441,43.79,Parassala,40-50%,,-1 to -49
THIRUVANANTHAPURAM,G01001,Parassala,G01001005,PARASUVAIKKAL,IND,ഫെലിക്സ് .റ്റി,,,,108,G,3,-562,OTH,Grama,Ward,1441,7.49,Parassala,0-10%,,-500 or less
THIRUVANANTHAPURAM,G01001,Parassala,G01001005,PARASUVAIKKAL,BJP,പ്രതീഷ് കുമാര്‍. കെ,,,,32,G,4,-638,NDA,Grama,Ward,1441,2.22,Parassala,0-10%,,-500 or less
THIRUVANANTHAPURAM,G01001,Parassala,G01001002,NEDIYAMCODE,INC,കൊല്ലിയോട് സത്യനേശൻ,,,,592,G,1,44,UDF,Grama,Ward,1494,39.63,Parassala,30-40%,,Jan-49
THIRUVANANTHAPURAM,G01001,Parassala,G01001002,NEDIYAMCODE,BJP,അജയകുമാര്‍ എം,,,,548,G,2,-44,NDA,Grama,Ward,1494,36.68,Parassala,30-40%,,-1 to -49
THIRUVANANTHAPURAM,G01001,Parassala,G01001002,NEDIYAMCODE,CPI(M),എൽ. സെല്‍വരാജ്,,,,354,G,3,-238,LDF,Grama,Ward,1494,23.69,Parassala,20-30%,,-200 to -499
THIRUVANANTHAPURAM,G01001,Parassala,G01001004,PULLOORKONAM,INC,കെൻസിലാലി എസ്,,,,689,G,1,303,UDF,Grama,Ward,1186,58.09,Parassala,50-60%,,200-499
THIRUVANANTHAPURAM,G01001,Parassala,G01001004,PULLOORKONAM,CPI(M),എൽ. ഷീബ,,,,386,G,2,-303,LDF,Grama,Ward,1186,32.55,Parassala,30-40%,,-200 to -499
THIRUVANANTHAPURAM,G01001,Parassala,G01001004,PULLOORKONAM,BJP,സൗമ്യ പി. എസ്. നായർ,,,,111,G,3,-578,NDA,Grama,Ward,1186,9.36,Parassala,0-10%,,-500 or less
THIRUVANANTHAPURAM,G01001,Parassala,G01001006,ADUMANKADU,CPI(M),പ്രിയാ ജാസ്മിന്‍ എസ്. എൻ,,,,515,G,1,121,LDF,Grama,Ward,1337,38.52,Parassala,30-40%,,100-199
THIRUVANANTHAPURAM,G01001,Parassala,G01001006,ADUMANKADU,INC,സൗമ്യമോൾ .ജെ .ജി,,,,394,G,2,-121,UDF,Grama,Ward,1337,29.47,Parassala,20-30%,,-100 to -199
THIRUVANANTHAPURAM,G01001,Parassala,G01001006,ADUMANKADU,BJP,ഷീജ. എൻ,,,,297,G,3,-218,NDA,Grama,Ward,1337,22.21,Parassala,20-30%,,-200 to -499
THIRUVANANTHAPURAM,G01001,Parassala,G01001006,ADUMANKADU,IND,സുശീല,,,,131,G,4,-384,OTH,Grama,Ward,1337,9.8,Parassala,0-10%,,-200 to -499
THIRUVANANTHAPURAM,G01001,Parassala,G01001010,PUTHENKADA,INC,ഷീജ,,,,864,G,1,395,UDF,Grama,Ward,1373,62.93,Parassala,60-70%,,200-499
THIRUVANANTHAPURAM,G01001,Parassala,G01001010,PUTHENKADA,CPI(M),വിമല .ഡി,,,,469,G,2,-395,LDF,Grama,Ward,1373,34.16,Parassala,30-40%,,-200 to -499
THIRUVANANTHAPURAM,G01001,Parassala,G01001010,PUTHENKADA,BJP,വിദ്യ. പി. എസ്,,,,40,G,3,-824,NDA,Grama,Ward,1373,2.91,Parassala,0-10%,,-500 or less
THIRUVANANTHAPURAM,G01001,Parassala,G01001007,IDICHAKKAPLAMOODU,CPI(M),സബൂറ ബീവി. ജെ,,,,526,G,1,121,LDF,Grama,Ward,1199,43.87,Parassala,40-50%,,100-199
THIRUVANANTHAPURAM,G01001,Parassala,G01001007,IDICHAKKAPLAMOODU,INC,ചിത്ര  .സി .വി,,,,405,G,2,-121,UDF,Grama,Ward,1199,33.78,Parassala,30-40%,,-100 to -199
THIRUVANANTHAPURAM,G01001,Parassala,G01001007,IDICHAKKAPLAMOODU,BJP,കൃഷ്ണപ്രിയ. വി,,,,268,G,3,-258,NDA,Grama,Ward,1199,22.35,Parassala,20-30%,,-200 to -499
THIRUVANANTHAPURAM,G01001,Parassala,G01001009,KARUMANOOR,IND,രാജൻ,,,,545,G,1,331,OTH,Grama,Ward,1037,52.56,Parassala,50-60%,,200-499
THIRUVANANTHAPURAM,G01001,Parassala,G01001009,KARUMANOOR,BJP,വിജികുമാര്‍. എസ്,,,,214,G,2,-331,NDA,Grama,Ward,1037,20.64,Parassala,20-30%,,-200 to -499
THIRUVANANTHAPURAM,G01001,Parassala,G01001009,KARUMANOOR,INC,ജോസ് .സി,,,,180,G,3,-365,UDF,Grama,Ward,1037,17.36,Parassala,10-20%,,-200 to -499
THIRUVANANTHAPURAM,G01001,Parassala,G01001009,KARUMANOOR,CPI,അശോക് കുമാർ,,,,98,G,4,-447,LDF,Grama,Ward,1037,9.45,Parassala,0-10%,,-200 to -499
THIRUVANANTHAPURAM,G01001,Parassala,G01001008,PAVATHIYANVILA,INC,പവതിയാൻവിള സുരേന്ദ്രൻ,,,,556,G,1,180,UDF,Grama,Ward,1310,42.44,Parassala,40-50%,,100-199
THIRUVANANTHAPURAM,G01001,Parassala,G01001008,PAVATHIYANVILA,CPI(M),ബിജു,,,,376,G,2,-180,LDF,Grama,Ward,1310,28.7,Parassala,20-30%,,-100 to -199
THIRUVANANTHAPURAM,G01001,Parassala,G01001008,PAVATHIYANVILA,BJP,ഷിജു .റ്റി,,,,291,G,3,-265,NDA,Grama,Ward,1310,22.21,Parassala,20-30%,,-200 to -499
